PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00000001;BSX17;JUEGO DE TUBOS BAHCO 17P CON CRIQUE;ITURRIA S.A;BAHCO;1;1,32
ID-00000002;TM12;"TUBO ESTRIADO LARGO DE 1/2"" 12MM";ITURRIA S.A;BAHCO;2;0,72
ID-00000003;TM13;"TUBO ESTRIADO LARGO DE 1/2"" 13MM";ITURRIA S.A;BAHCO;0;0,72
ID-00000004;TM14;"TUBO ESTRIADO LARGO DE 1/2"" 14 MM";ITURRIA S.A;BAHCO;0;0,72
ID-00000005;TM15;"TUBO ESTRIADO LARGO DE 1/2"" 15 MM";ITURRIA S.A;BAHCO;1;0,36
ID-00000006;TM16;"TUBO ESTRIADO LARGO DE 1/2"" 16 MM";ITURRIA S.A;BAHCO;1;0,92
ID-00000007;TM17;"TUBO ESTRIADO LARGO DE 1/2"" 17 MM";ITURRIA S.A;BAHCO;0;0,92
ID-00000008;TM18;"TUBO ESTRIADO LARGO DE 1/2"" 18 MM";ITURRIA S.A;BAHCO;2;1,01
ID-00000009;TM19;"TUBO ESTRIADO LARGO DE 1/2"" 19 MM";ITURRIA S.A;BAHCO;0;1,01
ID-00000010;250100000;MOTOR A EXPLOSION DE 6.5HP ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;0;1497,58
ID-00000011;250650002;GRUPO ELECTROGENO 6500 ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;0;1497,58
ID-00000012;250101111;GRUPO ELECTROGENO 4000 ZONGSHEN;FIASA S.A.I.C Y F.;ZONGSHEN;1;1497,58
ID-00000013;S6;"TUBO HEXAGONAL DE 1/2"" 6 MM";ITURRIA S.A;BAHCO;9;5,09
ID-00000014;S10;"TUBO ESTRIADO  DE 1/2"" 10 MM";ITURRIA S.A;BAHCO;1;0,77
ID-00000015;S12;"TUBO ESTRIADO DE 1/2"" 12 MM";ITURRIA S.A;BAHCO;2;2,20
ID-00000016;S13;"TUBO ESTRIADO  DE 1/2"" 13 MM";ITURRIA S.A;BAHCO;0;2,20
ID-00000017;S14;"TUBO ESTRIADO  DE 1/2"" 14 MM";ITURRIA S.A;BAHCO;0;0,00
ID-00000018;S15;"TUBO ESTRIADO  DE 1/2"" 15 MM";ITURRIA S.A;BAHCO;1;1,98
ID-00000019;S17;"TUBO ESTRIADO  DE 1/2"" DE 17 MM";ITURRIA S.A;BAHCO;0;1,98
ID-00000020;S19;"TUBO ESTRIADO DE 1/2"" DE 19 MM";ITURRIA S.A;BAHCO;0;1,98
ID-00000021;SX12P;"TUBO HEXAGONAL  DE 1/2"" DE 1/2""";ITURRIA S.A;BAHCO;4;1,32
ID-00000022;S5/16;"TUBO HEXAGONAL  DE 1/2"" DE 5/16""";ITURRIA S.A;BAHCO;6;1,47
ID-00000023;;ANULAR;ITURRIA S.A;BAHCO;1;0,16
ID-00000024;SX11;"TUBO HEXAGONAL  DE 1/2"" DE 11 MM";ITURRIA S.A;BAHCO;3;1,27
ID-00000025;TS1658;"TUBO SACA BUJIA DE 1/2"" DE 16 MM / 5/8""";ITURRIA S.A;BAHCO;2;8,06
ID-00000026;TS2113/16;"TUBO SACA BUJIA DE 1/2"" DE 21 MM / 13/16";ITURRIA S.A;BAHCO;0;0,00
ID-00000027;S11/16;"TUBO ESTRIADO DE 1/2"" DE 11/16""";ITURRIA S.A;BAHCO;3;1,53
ID-00000028;S7;"TUBO HEXAGONAL DE 1/2"" DE 7 MM";ITURRIA S.A;BAHCO;5;2,73
ID-00000029;S8;"TUBO HEXAGONAL DE 1/2"" DE 8 MM";ITURRIA S.A;BAHCO;8;4,52
